,0
activation_date_weekday,0.5374116
last_Recharge_date_weekday,0.09765284
activation_date_monthday,0.09048825
last_Recharge_date_monthday,0.08714444
Brith_of_date_year,0.03725594
Act_days_lcl_moc,0.03489865
Brith_of_date_month,0.01345015
SN_TOTAL_MOC,0.0126132015
SMS_INCOMING_COUNT,0.010674418
last_date_of_Revenue_weekday,0.0053043757
Act_Days_RGE,0.0051786928
Data_kb,0.004825526
in_Discunnect_Numbers,0.004543379
GENDER,0.0044406625
ACT_DAYS_VCE_MOC_OFFNET,0.004254213
Act_days_MTC,0.0042492338
Last_call_date_monthday,0.0041455915
Package_name,0.0040925983
Last_call_date_weekday,0.0040235543
last_date_of_Revenue_monthday,0.0037840027
nationality,0.0035463278
Brith_of_date_monthday,0.0034638804
rev_voice_total,0.0033505522
last_Recharge_date_month,0.0032187419
SN_STC_MOC,0.0031591014
SN_ZAIN_MOC,0.0029924454
last_date_of_Revenue_month,0.002185402
SN_TOTAL_MTC,0.0021622847
rev_fix,0.0021494487
SN_VIRGIN_MOC,0.001858581
Brith_of_date_weekday,0.00080139324
activation_date_month,0.0006805986
rev_total,0.0
SN_LEBARA_MTC,0.0
SN_VIRGIN_MTC,0.0
SN_ZAIN_MTC,0.0
SN_LEBARA_MOC,0.0
ACT_DAYS_VCE_MOC_ONNET,0.0
Act_days_All_moc,0.0
Act_days_intl_moc,0.0
Rch_Voucher_Rev,0.0
Rch_count_Voucher,0.0
Rev_international_call,0.0
rev_sms_int,0.0
rev_off_net,0.0
rev_on_net,0.0
rev_sms_total,0.0
days_since_last_recharge,0.0
hours_since_last_recharge,0.0
SN_STC_MTC,0.0
last_Recharge_date_year,0.0
Last_call_date_month,0.0
activation_date_year,0.0
